ID,category,name,country,birth_year,dead_or_alive,Died,gender,Major teams
34139,Cricket,TP Sudhindra,India,1984,Alive,,Male,"['Deccan Chargers,', 'Delhi Giants,', 'ICL India XI,', 'Madhya Pradesh']"
422705,Cricket,Tushar Pant,India,1986,Alive,,Male,Indian Tobacco Company
1037171,Cricket,Tushar Paul,India,1983,Alive,,Male,India Disable
30235,Cricket,Uday Kaul,India,1987,Alive,,Male,"['India A,', 'India Under-17s,', 'India Under-19s,', 'Kings XI Punjab,', 'North Zone,', 'Punjab,', 'Punjab Under-14s,', 'Punjab Under-16s,', 'Punjab Under-19s']"
54265,Cricket,Ujwala Nikam,India,1958,Alive,,Female,"['India Women,', 'Maharashtra Women']"
35618,Cricket,Umar Khan,Pakistan,1919,Dead,"August 4, 1990, Karachi, Sind, Pakistan (aged 71 years) ",Male,Western India
30154,Cricket,Umesh Kulkarni,India,1942,Alive,,Male,"['India,', 'Mumbai']"
53921,Cricket,Umesh Kumari,India,1973,Alive,,Female,Railways (India) Women
376116,Cricket,Umesh Yadav,India,1987,Alive,,Male,"['India,', 'Delhi Daredevils,', 'Kolkata Knight Riders,', 'Royal Challengers Bangalore,', 'Vidarbha']"
446499,Cricket,Unmukt Chand,India,1993,Alive,,Male,"['Delhi,', 'Delhi Daredevils,', 'India A,', 'India Under-19s,', 'India Under-23s,', 'Mumbai Indians,', 'Rajasthan Royals']"
54076,Cricket,Usha Bhogade,India,1971,Alive,,Female,Air India Women
43898,Cricket,Usuf Chippa,Pakistan,1920,Dead,"November 18, 1975, Karachi, Sind (aged 55 years 302 days) ",Male,"['Gujarat,', 'Karachi,', 'Sind,', 'Western India']"
1081437,Cricket,Utkarsh Singh,India,1998,Alive,,Male,"['India Under-19s,', 'Jharkhand Under-19s']"
27603,Cricket,Utpal Chatterjee,India,1964,Alive,,Male,"['India,', 'Bengal']"
27592,Cricket,V.B.Chandrasekhar,India,1961,Alive,,Male,"['India,', 'Goa,', 'Tamil Nadu']"
29942,Cricket,VA Jagadeesh,India,1983,Alive,,Male,"['India A,', 'Kerala,', 'South Zone']"
1175424,Cricket,Vaibhav Kandpal,India,2000,Alive,,Male,India Under-19s
798113,Cricket,Vaishali Mathur,India,1996,Alive,,Female,"['Delhi Women,', 'India A Women']"
34418,Cricket,Valentine Sewell,India,1910,Dead,"May 8, 1978, Yeovil, Somerset, England (aged 68 years 26 days) ",Male,Europeans (India)
32598,Cricket,Vallarapu Pawan Kumar,India,1972,Alive,,Male,Hyderabad (India)
30173,Cricket,Vaman Kumar,India,1935,Alive,,Male,"['India,', 'Madras,', 'Tamil Nadu']"
730893,Cricket,Vamshi Vardhan Reddy,India,1993,Alive,,Male,"['Hyderabad (India),', 'Hyderabad Under-19s,', 'Hyderabad Under-22s']"
54155,Cricket,Vandana Gupta,India,1979,Alive,,Female,"['Delhi,', 'North Zone Women,', ""Women's Cricket Association of India XI""]"
32362,Cricket,Vanka Pratap,India,1973,Alive,,Male,Hyderabad (India)
442045,Cricket,Varsha Choudhary,India,1992,Alive,,Female,"['India Blue Women,', 'Madhya Pradesh Women']"
53919,Cricket,Varsha Raffel,India,1975,Alive,,Female,"['Central Zone Women,', 'India Women,', 'Uttar Pradesh']"
360911,Cricket,Varun Aaron,India,1989,Alive,,Male,"['India,', 'Australian Centre of Excellence,', 'Delhi,', 'Delhi Daredevils,', 'India Emerging Players,', 'Jharkhand Under-19s,', 'Kings XI Punjab,', 'Kolkata Knight Riders,', 'Rajasthan Royals,', 'Royal Challengers Bangalore']"
1175465,Cricket,Varun Lavande,India,2000,Alive,,Male,India B Under-19s
